Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-09-24 00:03:01,2024-09-24 23:44:37,UTC+01:00,2024-09-24 16:26:56,2024-09-24 17:56:20,15,13.1,77,82,46,28,3,5,525,65,97,,true
2024-09-24 00:03:01,2024-09-24 23:44:37,UTC+01:00,2024-09-24 00:03:01,2024-09-24 06:15:32,73,14.3,346,371,199,86,61,25,476,0,93,62,false
2024-09-23 00:08:56,2024-09-24 00:03:01,UTC+01:00,2024-09-23 00:08:56,2024-09-23 07:39:48,100,13.4,439,450,137,126,176,11,284,0,97,32,false
2024-09-21 23:28:59,2024-09-23 00:08:56,UTC+01:00,2024-09-22 12:54:34,2024-09-22 15:56:16,37,17.7,169,181,123,18,28,12,453,0,96,,true
2024-09-21 23:28:59,2024-09-23 00:08:56,UTC+01:00,2024-09-21 23:28:59,2024-09-22 10:49:07,100,13.8,610,680,262,166,182,70,558,90,90,46,false
2024-09-21 00:15:32,2024-09-21 23:28:59,UTC+01:00,2024-09-21 00:15:32,2024-09-21 07:15:41,69,14.2,398,420,214,96,88,22,578,87,95,70,false
2024-09-20 01:56:34,2024-09-21 00:15:32,UTC+01:00,2024-09-20 01:56:34,2024-09-20 06:57:57,62,13.7,289,301,81,69,139,12,465,71,97,49,false
2024-09-19 00:03:38,2024-09-20 01:56:34,UTC+01:00,2024-09-19 19:31:05,2024-09-19 21:18:45,18,13.8,103,107,74,16,13,4,569,71,98,,true
2024-09-19 00:03:38,2024-09-20 01:56:34,UTC+01:00,2024-09-19 00:03:38,2024-09-19 06:39:42,72,14.0,362,392,144,99,119,30,505,31,92,85,false
2024-09-18 00:41:53,2024-09-19 00:03:38,UTC+01:00,2024-09-18 00:41:53,2024-09-18 08:39:09,88,13.9,445,469,193,120,132,24,508,17,95,87,false
